zip_code,region,urban_type,avg_summer_temp_f,extreme_heat_days_annual,poverty_rate_pct,ac_access_pct,pct_65_plus,heat_hazard_index,risk_score,risk_flag,priority_tier,recommended_action
11262,Southeast,Inner Suburb,113.58056238079055,20.803690457201974,34.61347958286011,83.98293770486568,17.305438486056044,4.816128394043052,0.992,1,Critical,Immediate action — coordinate emergency cooling and health services
10046,Southeast,Urban Core,108.08134953789944,23.525978349249822,14.08562284082449,81.77350590869472,18.83884769907389,6.672150800853509,0.991,1,Critical,Immediate action — coordinate emergency cooling and health services
11433,Southwest,Urban Core,93.876105617414,20.17606521026243,23.041362408016077,62.13282063585865,20.574749120028347,1.6014770829730194,0.989,1,Critical,Immediate action — coordinate emergency cooling and health services
11505,Southeast,Urban Core,106.2180315167174,38.964283146563695,9.439922073366484,78.61197658811646,19.16132039332174,4.894878141167294,0.987,1,Critical,Immediate action — coordinate emergency cooling and health services
12019,Southwest,Urban Core,110.26356915349974,21.83996613341589,23.335984263351552,95.78298757396465,17.28959610897666,2.7479670666026585,0.985,1,Critical,Immediate action — coordinate emergency cooling and health services
10827,Southeast,Inner Suburb,94.56042312484892,27.05511924992884,26.02651044928113,72.18388309296894,13.723921803863025,4.360941237571108,0.985,1,Critical,Immediate action — coordinate emergency cooling and health services
11195,West,Urban Core,93.7472943348454,31.30640737097675,19.479752860984934,63.39120693255802,16.87662074250761,4.06957292196102,0.985,1,Critical,Immediate action — coordinate emergency cooling and health services
10599,Northeast,Inner Suburb,108.3423408913232,32.68451189193534,29.46203816369672,89.73325318053028,20.46636474820461,4.456726416328748,0.984,1,Critical,Immediate action — coordinate emergency cooling and health services
11451,Midwest,Outer Suburb,86.79210293271856,26.9181802426228,45.73821456060391,68.30969673389913,20.784637739658766,6.114512469955432,0.983,1,Critical,Immediate action — coordinate emergency cooling and health services
11436,Southeast,Inner Suburb,92.304827069493,47.79870694064215,26.57503824705644,67.13196367248328,13.255813226808623,6.398167140776164,0.983,1,Critical,Immediate action — coordinate emergency cooling and health services
11247,Northeast,Inner Suburb,105.7740355812076,9.802844433732687,19.963540157422383,61.500443650405686,20.815591594102493,4.7160947114494265,0.983,1,Critical,Immediate action — coordinate emergency cooling and health services
